"code","count","date.min","date.max","product.count","date.range","cover_planting","cc_termination_date","date.range.fields","treatment","type","year","cc_harvest_date","cc_species","date.range.diff","planting.min.diff","plant.max.diff","term.max.diff","Flagged"
"DRK",99,2021-10-23,2022-06-02,2,222,2021-11-01,2022-05-31,211,"C","corner",2022,2022-05-19,"Cereal Rye",11,9,-9,-2,"1"
"DTN",64,2020-10-14,2021-06-06,2,235,2020-10-24,2021-05-19,207,"C","corner",2021,2021-05-18,"Cereal Rye-Hairy Vetch-Oats/Black Oats",28,10,-10,-18,"0"
"DVH",66,2020-10-18,2021-05-06,2,200,2020-10-28,2021-04-19,173,"C","corner",2021,2021-04-13,"Cereal Rye-Crimson Clover-Radish/Turnip-Rape/Canola",27,10,-10,-17,"0"
"DVW",72,2021-11-26,2022-05-18,2,173,2021-12-06,2022-05-04,149,"C","corner",2022,2022-05-03,"Cereal Rye-Other Brassica spp-Radish/Turnip-Triticale",24,10,-10,-14,"0"
"DWV",89,2021-10-12,2022-04-18,2,188,2021-10-20,2022-04-09,171,"C","corner",2022,2022-04-12,"Cereal Rye",17,8,-8,-9,"1"
"DZJ",61,2021-08-06,2022-05-30,2,297,2021-08-15,2022-05-18,276,"C","corner",2022,2022-05-13,"Crimson Clover-Hairy Vetch-Oats/Black Oats-Other-Other Brassica spp-Other Grass spp-Radish/Turnip-Ryegrass-Triticale",21,9,-9,-12,"0"
"EBT",40,2021-11-11,2022-04-27,2,167,2021-11-04,2022-04-10,157,"C","corner",2022,2022-04-14,"Cereal Rye",10,-7,7,-17,"0"
"EDF",59,2020-09-22,2021-04-14,2,204,2020-09-24,2021-03-26,183,"C","corner",2021,2021-03-31,"Cereal Rye-Hairy Vetch-Oats/Black Oats",21,2,-2,-19,"0"
"EHC",82,2021-11-15,2022-05-22,2,188,2021-11-24,2022-05-02,159,"C","corner",2022,2022-05-03,"Cereal Rye-Hairy Vetch",29,9,-9,-20,"0"
"EJU",110,2022-09-30,2023-06-02,1,245,2022-10-03,2023-05-15,224,"C","corner",2023,2023-05-15,"Cereal Rye-Wheat",21,3,-3,-18,"0"
"EKG",57,2022-11-06,2023-03-27,1,141,2022-11-15,2023-03-07,112,"C","corner",2023,2023-03-07,"Wheat",29,9,-9,-20,"0"
"ELP",33,2020-10-03,2021-04-23,2,202,2020-09-28,2021-04-14,198,"C","corner",2021,2021-04-13,"Barley",4,-5,5,-9,"1"
"ERU",52,2021-10-31,2022-05-30,2,211,2021-11-05,2022-05-20,196,"C","corner",2022,2022-05-16,"Cereal Rye",15,5,-5,-10,"0"
"FIY",44,2023-01-27,2023-05-26,1,119,2023-02-05,2023-05-11,95,"C","corner",2023,2023-05-09,"Other Brassica spp-Radish/Turnip-Rape/Canola-Ryegrass",24,9,-9,-15,"0"
"FJG",86,2020-08-23,2021-06-10,2,291,2020-09-01,2021-06-01,273,"C","corner",2021,2021-10-01,NA,18,9,-9,-9,"1"
"FLZ",68,2021-10-26,2022-05-10,2,196,2021-11-05,2022-04-20,166,"C","corner",2022,2022-04-14,"Cereal Rye",30,10,-10,-20,"0"
"FSX",74,2022-10-19,2023-05-04,1,197,2022-10-29,2023-04-18,171,"C","corner",2023,2023-04-12,"Cereal Rye-Other Clover spp",26,10,-10,-16,"0"
"FZT",92,2021-09-18,2022-05-17,1,241,2021-09-14,2022-05-10,238,"C","corner",2022,2022-05-12,"Cereal Rye-Other Clover spp",3,-4,4,-7,"1"
"GFU",96,2021-10-01,2022-04-30,2,211,2021-10-11,2022-04-12,183,"C","corner",2022,2022-04-12,"Barley",28,10,-10,-18,"0"
"GMG",36,2021-09-16,2022-05-25,2,251,2021-09-26,2022-05-25,241,"C","corner",2022,2022-05-25,"Cereal Rye",10,10,-10,0,"1"
"GPM",48,2020-12-02,2021-05-13,2,162,2020-12-10,2021-05-03,144,"C","corner",2021,2021-04-28,"Cereal Rye-Crimson Clover-Hairy Vetch-Oats/Black Oats-Other Brassica spp-Radish/Turnip-Rape/Canola-Ryegrass-Winter Peas",18,8,-8,-10,"0"
"GWP",156,2022-08-26,2023-05-01,1,248,2022-09-05,2023-04-11,218,"C","corner",2023,2023-04-11,"Cereal Rye-Radish/Turnip",30,10,-10,-20,"0"
"GYK",95,2021-10-07,2022-06-06,2,242,2021-10-14,2022-06-01,230,"C","corner",2022,2022-05-10,"Cereal Rye-Crimson Clover-Radish/Turnip-Rape/Canola",12,7,-7,-5,"1"
"GZS",98,2020-08-23,2021-06-10,2,291,2020-09-01,2021-06-01,273,"C","corner",2021,NA,"Cereal Rye",18,9,-9,-9,"1"
"HAP",72,2022-11-19,2023-05-21,1,183,2022-11-29,2023-05-07,159,"C","corner",2023,2023-05-04,"Barley",24,10,-10,-14,"0"
"HBM",95,2021-09-25,2022-05-31,2,248,2021-10-05,2022-05-11,218,"C","corner",2022,2022-05-11,"Barley",30,10,-10,-20,"0"
"HGI",53,2021-10-27,2022-05-20,2,205,2021-10-27,2022-04-30,185,"C","corner",2022,2022-04-25,"Hairy Vetch",20,0,0,-20,"0"
"HGU",116,2022-10-01,2023-05-23,1,234,2022-10-10,2023-05-06,208,"C","corner",2023,2023-05-05,"Cereal Rye",26,9,-9,-17,"0"
"HMI",116,2021-10-25,2022-06-20,1,238,2021-11-04,2022-06-04,212,"C","corner",2022,2022-05-31,"Cereal Rye",26,10,-10,-16,"0"
"HMT",52,2021-11-02,2022-04-08,2,157,2021-11-12,2022-04-04,143,"C","corner",2022,2022-04-01,"Cereal Rye-Oats/Black Oats",14,10,-10,-4,"1"
"HNZ",76,2020-10-27,2021-05-01,2,186,2020-11-05,2021-04-12,158,"C","corner",2021,2021-04-12,"Cereal Rye-Radish/Turnip",28,9,-9,-19,"0"
"HOR",71,2021-11-10,2022-06-01,2,203,2021-11-19,2022-05-17,179,"C","corner",2022,2022-05-13,"Triticale",24,9,-9,-15,"0"
"HVQ",63,2021-10-26,2022-05-04,2,190,2021-11-05,2022-04-20,166,"C","corner",2022,2022-04-14,"Barley-Cereal Rye-Crimson Clover-Hairy Vetch-Oats/Black Oats-Radish/Turnip-Triticale-Winter Peas",24,10,-10,-14,"0"
"HXU",44,2023-01-27,2023-05-26,1,119,2023-02-05,2023-05-11,95,"C","corner",2023,2023-05-09,"Other Brassica spp-Radish/Turnip-Rape/Canola-Ryegrass",24,9,-9,-15,"0"
"IFC",76,2020-08-25,2021-04-17,2,235,2020-09-01,2021-04-07,218,"C","corner",2021,2021-03-31,"Wheat",17,7,-7,-10,"0"
"IFJ",89,2020-10-11,2021-06-23,2,255,2020-10-10,2021-06-09,242,"C","corner",2021,2021-06-08,"Barley-Cereal Rye-Oats/Black Oats",13,-1,1,-14,"0"
"IMT",34,2020-09-19,2021-05-24,2,247,2020-09-29,2021-05-14,227,"C","corner",2021,2021-05-11,"Cereal Rye",20,10,-10,-10,"1"
"INN",66,2022-10-11,2023-03-19,1,159,2022-10-20,2023-03-08,139,"C","corner",2023,2023-03-20,"Cereal Rye-Oats/Black Oats",20,9,-9,-11,"0"
"IQE",91,2020-09-20,2021-05-14,2,236,2020-09-30,2021-04-30,212,"C","corner",2021,2021-04-27,"Cereal Rye",24,10,-10,-14,"0"
"IVU",29,2020-11-06,2021-04-22,2,167,2020-11-01,2021-04-16,166,"C","corner",2021,2021-04-16,"Cereal Rye",1,-5,5,-6,"1"
"IWI",58,2020-10-31,2021-05-04,2,185,2020-11-03,2021-04-27,175,"C","corner",2021,2021-04-26,"Wheat",10,3,-3,-7,"1"
"IWY",106,2022-10-17,2023-04-30,1,195,2022-10-27,2023-04-10,165,"C","corner",2023,2023-04-10,"Cereal Rye",30,10,-10,-20,"0"
"IYB",48,2021-09-19,2022-05-24,2,247,2021-09-29,2022-05-13,226,"C","corner",2022,2022-04-29,"Barley-Wheat",21,10,-10,-11,"0"
"JBB",87,2020-08-25,2021-06-02,2,281,2020-09-04,2021-05-13,251,"C","corner",2021,2021-05-13,"Cereal Rye-Crimson Clover-Other Brassica spp-Radish/Turnip-Rape/Canola",30,10,-10,-20,"0"
"JEA",98,2022-09-12,2023-04-15,1,215,2022-09-15,2023-03-30,196,"C","corner",2023,2023-03-29,"Cereal Rye",19,3,-3,-16,"0"
"JVU",122,2021-09-27,2022-06-17,2,263,2021-10-07,2022-06-14,250,"C","corner",2022,2022-06-16,"Hairy Vetch",13,10,-10,-3,"1"
"KGR",92,2022-08-22,2023-05-08,1,259,2022-09-01,2023-04-21,232,"C","corner",2023,2023-04-21,NA,27,10,-10,-17,"0"
"KIZ",47,2020-12-01,2021-04-09,2,129,2020-12-10,2021-03-30,110,"C","corner",2021,2021-03-29,"Other",19,9,-9,-10,"0"
"KKD",47,2020-09-22,2021-04-23,2,213,2020-09-29,2021-04-20,203,"C","corner",2021,2021-04-17,"Cereal Rye-Rape/Canola-Red Clover",10,7,-7,-3,"1"
"KLU",79,2020-08-28,2021-04-02,2,217,2020-09-01,2021-03-23,203,"C","corner",2021,2021-03-22,"Crimson Clover",14,4,-4,-10,"0"
"KNL",113,2022-09-23,2023-05-18,1,237,2022-09-28,2023-05-05,219,"C","corner",2023,2023-05-05,"Wheat",18,5,-5,-13,"0"
"KXR",79,2021-08-23,2022-06-10,2,291,2021-09-01,2022-06-01,273,"C","corner",2022,NA,"Wheat",18,9,-9,-9,"1"
"LAB",61,2018-10-05,2019-03-29,1,175,2018-10-15,2019-03-19,155,"C","corner",2019,2019-03-26,"Cereal Rye",20,10,-10,-10,"0"
"LAC",67,2018-10-05,2019-04-18,1,195,2018-10-15,2019-04-08,175,"C","corner",2019,2019-04-10,"Cereal Rye",20,10,-10,-10,"0"
"LDT",71,2021-09-05,2022-05-20,2,257,2021-09-15,2022-05-02,229,"C","corner",2022,2022-04-25,"Cereal Rye-Crimson Clover-Other Brassica spp-Radish/Turnip",28,10,-10,-18,"0"
"LHR",280,2021-09-16,2023-05-29,2,620,2022-09-14,2023-05-11,239,"C","corner",2023,2023-05-11,"Other Clover spp",381,363,-363,-18,"1"
"LKB",39,2020-10-05,2021-04-28,2,205,2020-10-15,2021-04-13,180,"C","corner",2021,2021-04-13,"Cereal Rye-Other",25,10,-10,-15,"0"
"LRH",56,2020-11-02,2021-04-23,2,172,2020-11-05,2021-04-04,150,"C","corner",2021,2021-03-31,"Wheat",22,3,-3,-19,"0"
"LSS",65,2018-10-12,2019-05-14,1,214,2018-10-17,2019-05-02,197,"C","corner",2019,2019-05-02,"-999",17,5,-5,-12,"0"
"LVF",44,2021-11-05,2022-06-10,2,217,2021-11-04,2022-05-25,202,"C","corner",2022,2022-05-23,"Cereal Rye",15,-1,1,-16,"0"
"LZU",94,2020-09-21,2021-06-07,2,259,2020-09-30,2021-05-18,230,"C","corner",2021,2021-05-18,"Cereal Rye",29,9,-9,-20,"0"
"MGT",100,2022-09-09,2023-05-07,1,240,2022-09-14,2023-05-12,240,"C","corner",2023,2023-04-18,"Barley-Cereal Rye-Radish/Turnip",0,5,-5,5,"1"
"MJH",55,2021-10-31,2022-05-31,2,212,2021-10-28,2022-05-11,195,"C","corner",2022,2022-05-11,"Crimson Clover-Oats/Black Oats-Other Brassica spp-Radish/Turnip-Triticale",17,-3,3,-20,"0"
"MJI",62,2020-10-23,2021-05-06,2,195,2020-10-30,2021-04-28,180,"C","corner",2021,2021-05-04,"Cereal Rye-Crimson Clover-Radish/Turnip-Rape/Canola",15,7,-7,-8,"1"
"MJT",70,2021-10-07,2022-06-20,2,256,2021-10-15,2022-06-01,229,"C","corner",2022,2022-04-21,"Cereal Rye-Crimson Clover-Radish/Turnip-Rape/Canola",27,8,-8,-19,"0"
"MLN",82,2021-10-22,2022-05-05,2,195,2021-11-01,2022-04-20,170,"C","corner",2022,2022-04-18,"Cereal Rye-Hairy Vetch-Other Clover spp-Radish/Turnip",25,10,-10,-15,"0"
"MWU",83,2021-09-24,2022-05-17,1,235,2021-10-01,2022-04-30,211,"C","corner",2022,2022-05-02,"Oats-Other-Triticale",24,7,-7,-17,"0"
"MZU",67,2020-09-08,2021-06-05,2,270,2020-09-17,2021-05-21,246,"C","corner",2021,2021-05-20,"Crimson Clover-Oats/Black Oats-Radish/Turnip-Ryegrass-Wheat",24,9,-9,-15,"0"
"NBS",82,2022-12-09,2023-06-18,1,191,2022-12-18,2023-05-31,164,"C","corner",2023,2023-05-25,"Other",27,9,-9,-18,"0"
"NMO",43,2022-01-05,2022-06-15,2,161,2022-01-15,2022-05-26,131,"C","corner",2022,2022-05-23,"Cereal Rye",30,10,-10,-20,"0"
"NOY",93,2020-09-03,2021-05-23,2,262,2020-09-01,2021-05-15,256,"C","corner",2021,2021-05-13,"Cereal Rye-Radish/Turnip",6,-2,2,-8,"1"
"NTK",59,2020-12-29,2021-06-15,2,168,2021-01-08,2021-06-01,144,"C","corner",2021,2021-06-01,"Cereal Rye",24,10,-10,-14,"0"
"NUR",66,2020-10-14,2021-06-06,2,235,2020-10-20,2021-05-21,213,"C","corner",2021,2021-05-20,"Cereal Rye-Crimson Clover-Hairy Vetch-Triticale",22,6,-6,-16,"0"
"NVC",86,2020-09-19,2021-04-27,2,220,2020-09-15,2021-04-09,206,"C","corner",2021,2021-04-08,"-999",14,-4,4,-18,"0"
"NWE",62,2019-08-22,2020-03-28,1,219,2019-09-01,2020-03-10,191,"C","corner",2020,NA,"Cereal Rye",28,10,-10,-18,"0"
"NYC",95,2022-09-25,2023-04-29,1,216,2022-10-04,2023-04-21,199,"C","corner",2023,2023-04-25,"Cereal Rye-Hairy Vetch",17,9,-9,-8,"1"
"OEX",65,2020-11-02,2021-06-05,2,215,2020-11-07,2021-05-20,194,"C","corner",2021,2021-05-20,"Hairy Vetch-Wheat",21,5,-5,-16,"0"
"OFM",67,2022-10-10,2023-04-15,1,187,2022-10-20,2023-04-14,176,"C","corner",2023,2023-04-19,"Cereal Rye",11,10,-10,-1,"1"
"OJW",60,2020-11-08,2021-05-22,2,195,2020-11-16,2021-05-14,179,"C","corner",2021,2021-05-14,"Wheat",16,8,-8,-8,"1"
"OOA",59,2020-10-14,2021-06-04,2,233,2020-10-14,2021-05-26,224,"C","corner",2021,2021-05-24,"Triticale",9,0,0,-9,"1"
"OQB",49,2021-11-01,2022-05-11,2,191,2021-11-08,2022-05-02,175,"C","corner",2022,2022-05-05,"Triticale-Wheat",16,7,-7,-9,"1"
"OZT",109,2021-09-15,2022-05-14,2,241,2021-09-25,2022-04-27,214,"C","corner",2022,2022-04-25,"Cereal Rye",27,10,-10,-17,"0"
"PHZ",128,2022-09-17,2023-06-14,1,270,2022-09-27,2023-06-01,247,"C","corner",2023,2023-05-25,"Cereal Rye-Crimson Clover",23,10,-10,-13,"0"
"PKY",55,2020-10-18,2021-05-19,2,213,2020-10-20,2021-05-10,202,"C","corner",2021,2021-05-04,"Crimson Clover-Radish/Turnip-Wheat",11,2,-2,-9,"1"
"PML",64,2022-10-22,2023-04-23,1,183,2022-11-01,2023-04-03,153,"C","corner",2023,2023-04-04,"Cereal Rye",30,10,-10,-20,"0"
"PMZ",108,2022-10-21,2023-05-27,1,218,2022-10-31,2023-05-09,190,"C","corner",2023,2023-05-09,"Hairy Vetch",28,10,-10,-18,"0"
"POG",33,2020-10-17,2021-06-09,2,235,2020-10-27,2021-05-20,205,"C","corner",2021,2021-05-24,"Cereal Rye",30,10,-10,-20,"1"
"POQ",133,2022-10-06,2023-05-31,1,237,2022-10-15,2023-05-16,213,"C","corner",2023,2023-05-15,"Cereal Rye",24,9,-9,-15,"0"
"PRH",93,2020-10-18,2021-05-19,2,213,2020-10-26,2021-04-30,186,"C","corner",2021,2021-05-04,"Cereal Rye-Crimson Clover-Radish/Turnip-Rape/Canola",27,8,-8,-19,"0"
"QAQ",72,2021-12-22,2022-06-02,2,162,2021-12-28,2022-05-27,150,"C","corner",2022,2022-05-28,"Cereal Rye-Hairy Vetch-Rape/Canola-Triticale-Wheat",12,6,-6,-6,"1"
"QKZ",82,2021-10-28,2022-05-02,2,186,2021-10-22,2022-04-12,172,"C","corner",2022,2022-04-13,"Cereal Rye",14,-6,6,-20,"0"
"QLR",81,2020-10-14,2021-05-06,2,204,2020-10-23,2021-04-19,178,"C","corner",2021,2021-04-13,"Wheat",26,9,-9,-17,"0"
"QNE",62,2021-11-09,2022-05-10,2,182,2021-11-17,2022-04-21,155,"C","corner",2022,2022-04-25,"Cereal Rye-Hairy Vetch",27,8,-8,-19,"0"
"QRD",77,2020-04-19,2021-05-04,2,380,2020-10-20,2021-04-22,184,"C","corner",2021,2021-04-19,"Barley",196,184,-184,-12,"1"
"QYI",133,2022-09-24,2023-05-21,1,239,2022-10-01,2023-05-02,213,"C","corner",2023,2023-05-02,"Cereal Rye",26,7,-7,-19,"0"
"RAB",54,2018-10-18,2019-03-24,1,157,2018-10-25,2019-03-09,135,"C","corner",2019,2019-03-27,"Oats-Radish/Turnip-Unknown Clover spp",22,7,-7,-15,"0"
"RAD",48,2018-12-11,2019-04-27,1,137,2018-12-20,2019-04-18,119,"C","corner",2019,2019-04-03,"Cereal Rye-Crimson Clover-Oats-Wheat",18,9,-9,-9,"1"
"RCA",53,2020-10-26,2021-04-06,2,162,2020-10-25,2021-03-27,153,"C","corner",2021,2021-04-01,"Cereal Rye-Wheat",9,-1,1,-10,"0"
"REK",51,2021-10-01,2022-05-02,2,213,2021-10-11,2022-04-22,193,"C","corner",2022,2022-04-29,"Cereal Rye-Other Clover spp-Red Clover",20,10,-10,-10,"0"
"RKT",63,2020-11-06,2021-05-24,2,199,2020-11-16,2021-05-14,179,"C","corner",2021,2021-05-18,"Cereal Rye",20,10,-10,-10,"0"
"RPM",56,2021-10-26,2022-05-10,2,196,2021-11-05,2022-04-26,172,"C","corner",2022,2022-05-06,"Barley-Cereal Rye-Crimson Clover-Hairy Vetch-Oats/Black Oats-Other Clover spp-Triticale-Winter Peas",24,10,-10,-14,"0"
"RVP",100,2022-10-14,2023-05-27,1,225,2022-10-22,2023-05-08,198,"C","corner",2023,2023-05-08,"Oats/Black Oats",27,8,-8,-19,"0"
"SAA",48,2018-12-11,2019-04-27,1,137,2018-12-20,2019-04-18,119,"C","corner",2019,2019-04-03,"Cereal Rye-Crimson Clover-Oats-Wheat",18,9,-9,-9,"1"
"SAB",60,2018-10-21,2019-04-08,1,169,2018-10-29,2019-03-29,151,"C","corner",2019,2019-03-27,"Unknown Clover spp-Unknown Vetch spp-Winter Peas",18,8,-8,-10,"0"
"SHX",54,2020-11-16,2021-04-16,2,151,2020-11-20,2021-04-11,142,"C","corner",2021,2021-04-06,"Cereal Rye-Crimson Clover-Hairy Vetch-Radish/Turnip",9,4,-4,-5,"1"
"SKF",115,2021-10-03,2022-05-28,2,237,2021-10-10,2022-05-13,215,"C","corner",2022,2022-05-13,"Cereal Rye-Wheat-Winter Peas",22,7,-7,-15,"0"
"SOS",41,2020-10-27,2021-03-15,2,139,2020-11-06,2021-03-05,119,"C","corner",2021,2021-03-04,"Cereal Rye-Crimson Clover-Hairy Vetch",20,10,-10,-10,"0"
"SOW",56,2021-09-30,2022-05-19,2,231,2021-09-29,2022-05-02,215,"C","corner",2022,2022-05-11,"Cereal Rye",16,-1,1,-17,"0"
"STA",57,2018-11-10,2019-05-02,1,173,2018-11-20,2019-04-27,158,"C","corner",2019,2019-04-24,"Other",15,10,-10,-5,"1"
"SVA",89,2021-10-30,2022-05-16,2,198,2021-11-09,2022-04-26,168,"C","corner",2022,2022-04-25,"Winter Peas",30,10,-10,-20,"0"
"SVC",112,2021-09-24,2022-06-05,2,254,2021-10-04,2022-05-18,226,"C","corner",2022,2022-05-17,"Cereal Rye-Winter Peas",28,10,-10,-18,"0"
"TDI",92,2022-10-07,2023-04-26,1,201,2022-10-15,2023-04-19,186,"C","corner",2023,2023-04-16,"Hairy Vetch",15,8,-8,-7,"1"
"TDP",54,2021-09-20,2022-06-06,2,259,2021-09-29,2022-05-27,240,"C","corner",2022,2022-05-23,"Crimson Clover-Oats/Black Oats-Radish/Turnip-Ryegrass",19,9,-9,-10,"0"
"TLF",76,2020-09-19,2021-05-06,2,229,2020-09-28,2021-04-22,206,"C","corner",2021,2021-04-22,"Crimson Clover-Radish/Turnip-Rape/Canola-Triticale",23,9,-9,-14,"0"
"TOI",90,2022-10-23,2023-05-26,1,215,2022-11-01,2023-05-12,192,"C","corner",2023,2023-05-11,"Cereal Rye-Crimson Clover-Hairy Vetch-Oats/Black Oats-Ryegrass-Triticale",23,9,-9,-14,"0"
"TOX",48,2020-09-21,2021-03-11,2,171,2020-09-25,2021-03-10,166,"C","corner",2021,2021-03-12,"Oats/Black Oats",5,4,-4,-1,"1"
"TSH",104,2022-09-25,2023-05-06,1,223,2022-10-05,2023-04-21,198,"C","corner",2023,2023-04-18,"Cereal Rye-Crimson Clover-Other Brassica spp",25,10,-10,-15,"0"
"TSN",87,2020-08-17,2021-05-04,2,260,2020-08-24,2021-04-27,246,"C","corner",2021,2021-05-05,"Cereal Rye-Hairy Vetch-Winter Peas",14,7,-7,-7,"1"
"TXE",53,2020-11-06,2021-04-13,2,158,2020-11-15,2021-04-07,143,"C","corner",2021,2021-04-07,"Cereal Rye",15,9,-9,-6,"1"
"TZM",90,2022-09-30,2023-05-13,1,225,2022-09-28,2023-05-10,224,"C","corner",2023,2023-05-03,"Cereal Rye",1,-2,2,-3,"1"
"UAN",69,2020-10-19,2021-05-09,2,202,2020-10-29,2021-04-22,175,"C","corner",2021,2021-04-26,"Cereal Rye",27,10,-10,-17,"0"
"UCE",92,2022-09-18,2023-04-22,1,216,2022-09-28,2023-04-19,203,"C","corner",2023,2023-04-20,"Cereal Rye-Radish/Turnip-Triticale",13,10,-10,-3,"1"
"UCG",63,2021-10-12,2022-05-14,2,214,2021-10-22,2022-05-10,200,"C","corner",2022,2022-05-09,"Cereal Rye",14,10,-10,-4,"1"
"UCT",64,2020-10-05,2021-05-01,2,208,2020-10-05,2021-04-21,198,"C","corner",2021,2021-04-22,"Cereal Rye",10,0,0,-10,"0"
"UFH",63,2020-10-05,2021-05-01,2,208,2020-10-05,2021-04-21,198,"C","corner",2021,2021-04-22,"Cereal Rye",10,0,0,-10,"0"
"UGB",107,2022-10-15,2023-05-14,1,211,2022-10-25,2023-04-27,184,"C","corner",2023,2023-04-25,"Cereal Rye",27,10,-10,-17,"0"
"UHC",58,2020-08-12,2021-05-06,2,267,2020-08-08,2021-04-26,261,"C","corner",2021,2021-04-22,"Cereal Rye-Oats/Black Oats-Other-Other Brassica spp-Radish/Turnip-Winter Peas",6,-4,4,-10,"0"
"ULW",99,2021-10-01,2022-05-15,2,226,2021-10-11,2022-04-29,200,"C","corner",2022,2022-04-26,"Barley",26,10,-10,-16,"0"
"URF",40,2020-10-08,2021-03-12,2,155,2020-10-01,2021-03-05,155,"C","corner",2021,2021-03-15,"Cereal Rye",0,-7,7,-7,"1"
"USV",99,2021-10-18,2022-05-21,2,215,2021-10-28,2022-05-05,189,"C","corner",2022,2022-05-04,"Cereal Rye-Crimson Clover-Radish/Turnip-Rape/Canola",26,10,-10,-16,"0"
"UYD",86,2021-09-29,2022-06-15,2,259,2021-10-09,2022-05-28,231,"C","corner",2022,2022-05-27,"Cereal Rye-Crimson Clover",28,10,-10,-18,"0"
